regulator,target,weight
hns,ileV,-1
hns,micF,-1
hns,rrfB,-1
hns,rrfC,-1
hns,rrfD,-1
hns,rrfG,-1
hns,rrfH,-1
hns,rrlB,-1
hns,rrlC,-1
hns,rrlD,-1
hns,rrlG,-1
hns,rrlH,-1
hns,rrsB,-1
hns,rrsC,-1
hns,rrsD,-1
hns,rrsG,-1
hns,rrsH,-1
hns,rrfF,-1
hns,thrV,-1
hns,gadA,-1
hns,caiF,-1
hns,hlyE,1
hns,fliY,1
hns,bglJ,-1
hns,srlA,1
hns,ybdZ,1
hns,appY,-1
hns,bglB,-1
hns,bglF,-1
hns,bglG,-1
hns,bolA,-1
hns,cadA,-1
hupB,tyrP,-1
hupA,micF,1
hupB,micF,1
hupA,tyrP,-1
hyfR,focB,1
hyfR,hyfJ,1
hyfR,hyfI,1
hyfR,hyfH,1
hyfR,hyfA,1
hyfR,hyfF,1
hyfR,hyfE,1
hyfR,hyfD,1
hyfR,hyfC,1
hyfR,hyfB,1
hyfR,hyfG,1
ihfB,hipB,1
ihfB,hipA,1
ihfB,hycA,1
ihfB,hycB,1
ihfB,hycC,1
ihfB,hycD,1
ihfB,hycE,1
ihfB,hycF,1
ihfB,hycG,1
ihfB,hycH,1
ihfB,hypA,1
ihfB,hypB,1
ihfB,hypC,1
ihfB,hypD,1
ihfB,hypE,1
ihfB,ilvA,-1
ihfB,ilvD,1
ihfB,ilvE,-1
ihfB,ilvM,1
ihfB,narG,1
ihfB,narH,1
ihfB,narI,1
ihfB,narJ,1
ihfB,narK,1
ihfB,ndh,-1
ihfB,nirB,-1
ihfB,nirC,1
ihfB,nirD,1
ihfB,ompC,-1
ihfB,ompF,-1
ihfB,ompR,-1
ihfB,pflB,1
ihfB,prfA,1
ihfB,sodA,-1
ihfB,sodB,-1
ihfB,sucA,-1
ihfB,sucB,-1
ihfB,sucC,-1
ihfB,sucD,-1
ihfB,tdcA,1
ihfB,tdcB,1
ihfB,tdcC,1
ihfB,tyrP,-1
ihfB,tdcD,1
ihfB,focA,1
ihfB,ilvL,-1
ihfB,dusB,1
ihfB,ubiC,-1
ihfB,ubiA,-1
ihfB,sufE,1
ihfB,sufS,1
ihfB,sufD,1
ihfB,sufC,1
ihfB,sufB,1
ihfB,norV,-1
ihfB,hycI,1
ihfB,glcA,1
ihfB,glcG,1
ihfB,glcE,1
ihfB,glcD,1
ihfB,ygjG,-1
ihfB,tdcG,1
ihfB,tdcF,1
ihfB,tdcE,1
ihfB,dcuD,1
ihfB,ilvX,-1
ihfB,osmE,-1
ihfB,cysG,1
ihfB,cysH,1
ihfB,cysI,1
ihfB,cysJ,1
ihfB,dmsA,-1
ihfB,dmsB,-1
ihfB,dmsC,-1
ihfB,dppA,1
ihfB,envZ,-1
ihfB,fhlA,1
ihfB,fimA,1
ihfB,fimC,1
ihfB,fimD,1
ihfB,fimF,1
ihfB,fimG,1
ihfB,fimH,1
ihfB,fis,1
ihfB,flhC,-1
ihfB,flhD,-1
ihfB,gcd,1
ihfB,glnH,1
ihfB,glnP,1
ihfB,glnQ,1
ihfB,glpQ,-1
ihfB,glpT,-1
ihfB,gltA,1
ihfB,gltB,1
ihfB,gltD,1
ihfB,hemA,1
ihfB,ihfA,-1
ihfB,nrfC,1
ihfB,nrfD,-1
ihfB,nrfE,-1
ihfB,nrfF,-1
ihfB,nrfG,-1
ihfB,ecpD,1
ihfB,fimI,1
ihfB,yeiL,1
ihfB,nuoA,-1
ihfB,nuoB,-1
ihfB,nuoC,-1
ihfB,nuoE,-1
ihfB,nuoG,-1
ihfB,nuoH,-1
ihfB,nuoI,-1
ihfB,nuoJ,-1
ihfB,nuoK,-1
ihfB,nuoL,-1
ihfB,nuoN,-1
ihfB,yiaJ,-1
ihfB,yiaK,1
ihfB,yiaL,1
ihfB,yiaM,1
ihfB,yiaN,1
ihfB,yiaO,1
ihfB,lyxK,1
ihfB,sgbH,1
ihfB,sgbU,1
ihfB,sgbE,1
ihfB,ssuB,-1
ihfB,prmC,1
ihfB,norW,1
ihfB,caiE,-1
ihfB,dppB,1
ihfB,dppC,1
ihfB,dppD,1
ihfB,dppF,1
ihfB,glcB,1
ihfB,hpt,-1
ihfB,micF,-1
ihfB,glcF,1
ihfB,ssuC,-1
ihfB,ssuD,1
ihfB,ssuA,1
ihfB,ssuE,-1
ihfA,ompF,-1
ihfA,ompR,-1
ihfA,pflB,1
ihfA,prfA,1
ihfA,sodA,-1
ihfA,sodB,-1
ihfA,sucA,-1
ihfA,sucB,-1
ihfA,sucC,-1
ihfA,sucD,-1
ihfA,tdcA,1
ihfA,tdcB,1
ihfA,tdcC,1
ihfA,tyrP,-1
ihfA,tdcD,1
ihfA,focA,1
ihfA,ilvL,-1
ihfA,dusB,1
ihfA,ubiC,-1
ihfA,ubiA,-1
ihfB,aceA,1
ihfB,aceB,1
ihfB,aceK,1
ihfB,sufA,1
ihfB,osmY,-1
ihfB,dps,1
ihfB,acs,-1
ihfB,sra,1
ihfB,gltF,1
ihfB,ibpB,1
ihfB,caiD,-1
ihfB,caiC,-1
ihfB,caiB,-1
ihfB,caiA,-1
ihfB,caiT,-1
ihfB,nuoM,-1
ihfB,nuoF,-1
ihfB,nrfA,-1
ihfB,yjbE,1
ihfB,yjbF,1
ihfB,yjbG,1
ihfB,yjbH,1
ihfB,actP,-1
ihfB,yjcH,-1
ihfB,nrfB,1
ihfA,cysG,1
ihfA,cysH,1
ihfA,cysI,1
ihfA,cysJ,1
ihfA,dmsA,-1
ihfA,dmsB,-1
ihfA,dmsC,-1
ihfA,dppA,1
ihfA,envZ,-1
ihfA,fhlA,1
ihfA,fimA,1
ihfA,fimC,1
ihfA,fimD,1
ihfA,fimF,1
ihfA,fimG,1
ihfA,fimH,1
ihfA,fis,1
ihfA,flhC,-1
ihfA,flhD,-1
ihfA,gcd,1
ihfA,glnH,1
ihfA,glnP,1
ihfA,glnQ,1
ihfA,glpQ,-1
ihfA,glpT,-1
ihfA,gltA,1
ihfA,gltB,1
ihfA,gltD,1
ihfA,hemA,1
ihfA,ihfB,-1
ihfA,hipB,1
ihfA,hipA,1
ihfA,hycA,1
ihfA,hycB,1
ihfA,hycC,1
ihfA,hycD,1
ihfA,hycE,1
ihfA,hycF,1
ihfA,hycG,1
ihfA,hycH,1
ihfA,hypA,1
ihfA,hypB,1
ihfA,hypC,1
